,title,company,abst1,abst2,price,initial_price,free_plan,free_trial,detail_link
11,qualva,株式会社 PROFESSY,コンバージョンチャットボットqualva（クオルバ）,"qualva（クオルバ）は、コンバージョン率を高めるためのさまざまな機能を兼ね備えたチャットボット。
ウェブサイトに訪れるお客さまの顧客体験を最大化します。
資料請求・予約・電子決済に、これからのウェブ接客の標準、qualvaをご利用ください。",月額1万円〜,5万円〜,なし,なし,https://ai-products.net/product/qualva/
12,チャットプラス,チャットプラス株式会社,"初期費用0円 月額1,500円〜低価格で利用可能な
チャットボット","チャットプラスは、チャットサポートツールをホームページやアプリに簡単に埋め込むことができる、
チャットボット・チャットサポートツールです。",1500円～,0円,なし,あり,https://ai-products.net/product2/chatplus/
13,チャットシステムChamo,株式会社ジーニー,「心が通う、温かいコミュニケーションを。」,"チャット業界でもNo.1の実績、4,500社導入の国産No.1チャットツール。","6,980円/月",0円,なし,15日間,https://ai-products.net/product/chatbot-chamo/
14,Virtual Agent-バーチャルエージェント-,りらいあデジタル株式会社,コンタクトセンターのノウハウを活かした AIチャットボット「バーチャルエージェント®」,50社以上の導入、運用実績あり！,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/virtual-agent/
15,minarai CS chat,株式会社Nextremer,"シンプルなUIで直感的な操作が可能なAIチャットボット
最も重要なシナリオの運用をAIトレーナーが手厚くサポート","独自対話システムを搭載したチャットボットです。
対話ログ分析や対人オペレーターへの切り替えなど必要な機能がひと通り網羅され、さらに最も重要なシナリオ編集に関しては、
同時編集やAIを駆使したシナリオ追加提案など独自の機能も充実しています。","50,000円/月〜",なし,あり,あり,https://ai-products.net/product2/minarai-cs-chat/
16,ENOKI5.0 Essential(Cloud版),アイフォーカス・ネットワーク株式会社,ヘルプデスク型　ENOKI5.0 Essential,ENOKI5.0 Essentialは難しい操作無しで、Q&A（質問と回答）のエクセルファイルを登録するだけですぐにご利用できます。,月額5万円,10万円,なし,あり,https://ai-products.net/product/enoki-cloud/
17,AI Messenger Chatbot,株式会社AI Shift,"カスタマーサポート向け
最高品質のAIチャットボット",AI Messenger Chatbotはユーザーの疑問解決にこだわった回答精度の高いAIチャットボットを提供します。,お問い合わせください,お問い合わせください,なし,なし,https://ai-products.net/product2/ai-messenger/
18,QuickSolutionチャットボット,住友電工情報システム株式会社,QuickSolutionチャットボット,～AI検索システム生まれのチャットボットで ナレッジ活用を促進～,初期費用の20%,"3,500,000円～",なし,あり,https://ai-products.net/product/qs-chatbot/
19,AIMC AIチャットボット導入支援,エイアイエムコンサルティング株式会社,ノーコードで高機能な対話AIを 直感的に操作できるチャットボット,使い勝手が良く、高性能なAIチャットボットをどなたでも無償でお試しいただくことができます。,"100,000円～",お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product2/kuzen/
20,OK SKY Chat Bot,株式会社空色,リアル店舗以上の接客体験をあなたのウェブサイトに,会話からお客様のニーズを抽出し、日々増加する商品から最適な選択を提示することで購入を促進。,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/ok-sky-chat-bot/
21,汎用AIチャットボットCB3,NDIソリューションズ株式会社,"汎用AIチャットボット　社内・社外からのお問い合わせは
私たちに任せてください",社内・社外からの問合せ業務の自動化や、業務システムと連携したチャットでの業務データ照会・入力に活用いただけます。,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/chatbot-ai-cb3/
22,AI-FAQ ボット,株式会社L is B,社内でも社外でも、始めやすく使いやすい ユーザーの思考に合わせ進化する「AI-FAQ ボット」,日々、同じような質問を繰り返されるお問い合わせに追われているみなさまへ。,"30,000円/月～",お問い合わせください,お問い合わせください,30日間無料,https://ai-products.net/product2/ai-faq-bot/
23,direct,株式会社L is B,「direct」+ 「チャットボット」でビジネスはさらに進化する,「direct」はスマートフォンやPCですぐに使いこなせるシンプルで操作しやすいビジネスチャットです。,0円,0円,あり（10名まで）,なし,https://ai-products.net/product/chatbot-direct/
24,たよれーるAIチャットボットサービス,株式会社大塚商会,"IBM Watsonの自然言語処理機能を利用した
大塚商会オリジナルのシステムです",開発費は自社負担のため、費用対効果の出やすいサービス価格でご提供しています。,"70,000円/月","400,000円",なし,3ヶ月無料（初期費用別途要）,https://ai-products.net/product2/tayoreru/
25,Concierge U,株式会社コンシェルジュ,プログラミング不要の高機能AIチャットボット,ドラッグ&ドロップの 直感操作、csvでのQ&Aデータアップロードなど、誰でも簡単にチャットボットを 作成可能。,10万円～,5万円～,―,―,https://ai-products.net/product/concierge-u/
26,FirstContact,株式会社バイタリフィ,高機能、ハイコストパフォーマンスなAIチャットボット,"「FirstContact」は、ユーザー目線・オペレーター目線を考え、より優れた意思疎通をめざし、
様々なアプローチでテキストでの会話を補完するチャットボットです。","月額2,980円～",0円,なし,あり,https://ai-products.net/product/chatbot-firstcontact/
27,Third AI コンタクトセンターソリューション,日本サード・パーティ株式会社,チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューション,チャットボットThirdAIではAIをお客様の業務改善に合わせ選定、提供するサービスです。,20万円～,100万円〜,なし,なし,https://ai-products.net/product2/third-ai/
28,対話型AI「ハル」＠チャットボット,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします！,勤怠管理や受付係などの業務や投資信託のオススメなどオフィスの自動化をサポートいたします。,30万円,90万円,-,-,https://ai-products.net/product/chatbot-ai-haru/
29,AIチャットボット「 HiTTO 」,HiTTO株式会社,"大企業様の問い合わせ対応業務をサポート！
かんたんAIで定型業務をまるっと自動化",HiTTOはチャットボットの導入・運用に欠かせない学習データのメンテナンスを簡単にできる管理画面や、 様々なサービスと連携できる拡張性などをご評価いただき、多くの大手企業様の人事総務や情報システム部門にご導入いただいております。,お問い合わせください,なし,なし,あり,https://ai-products.net/product2/chatbot-hitto/
30,QuickQA,株式会社エーアイスクエア,社内業務のチャット・WebサイトのUIに対応する、 AIベースのQAソリューション「QuickQA」,社内の困ったをQuickQAが解決します！ 気になったら資料請求ください,30万円～（月額）,"1,000,000円",お問い合わせください,お問い合わせください,https://ai-products.net/product2/quickqa/
31,Einstein for Service,株式会社セールスフォース・ドットコム,カスタマーサポート業務の効率化とオペレータの生産性を向上,AIがオペレータやエージェントの生産性を高める。,"月額　6,000円/1ユーザー",-,なし,なし,https://ai-products.net/product/einstein-for-service/
32,mobiAgent（モビエージェント）,モビルス株式会社,"コンタクトセンターのオペレーションに最適化した、
自動応答対応チャットボットツール",顧客との対話、FAQの自動回答、定型手続きの自動受付を実現します。,"12,000円/1ID","100,000円",なし,あり,https://ai-products.net/product/mobiagent/
33,CAIWA Service Viii,株式会社イクシーズラボ,"AIプラットフォームCAIWAを基盤とした
高性能AIチャットボット",「問い合わせ対応負荷を軽減したい」「顧客満足度を向上させたい」「お客様の生声を吸い上げたい」にお応えします。,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product2/caiwa-service-viii/
34,ObotAI,株式会社ObotAI,学習するAIを搭載。使うほどかしこく。多言語に対応します,最新エンジンを搭載！7か国語に対応した AIチャットボット作成システムです。,7万円～30万円,0円～,なし,あり,https://ai-products.net/product/chatbot-obotai/
35,オンライン・コンシェルジェ,株式会社R500M,多言語対応・簡単設定のチャットボット,煩雑なお問い合わせ業務を軽減し、お問い合わせ対応の効率化と品質向上を実現します。,月額5000円～,0円,なし,あり,https://ai-products.net/product/chatbot-online-concierge/
36,My-ope office,株式会社mofmof,社内問い合わせ対応専用のAIチャットボットです,社内問合せの課題を解決し、社員が抱える「探す時間」を大幅削減します。,"120,000円","160,000円",なし,―,https://ai-products.net/product/my-ope-office/
37,BOTCHAN,株式会社wevnal,カスタマーサポートを、早く、賢く、正確に,"ボットシナリオをお客様ご自身で作成できるチャットボットサービスです。
自然言語処理、レコメンドエンジンといったAIエンジンと接続が可能で、ユーザとのより自然な会話を実現します。",月額1万円～,10万円,あり,―,https://ai-products.net/product/chatbot-botchan/
38,Faceコンシェル,株式会社インテリジェントウェイブ,WEBサイト上で稼働するコンシェルジュサービスです,画面上に登場したキャラクターへ質問を入力すると 高度な口語解析技術により的確な回答を自動応答します。,お問い合わせ下さい,―,―,―,https://ai-products.net/product2/faceconcier/
